CNAE 2.0 Classe;Faixa Etária;Escolaridade após 2005;Idade;Raça Cor;Sexo Trabalhador;uf;valor_remuneracao_media
47121;06;02;49;02;01;14;1312.63
01156;07;02;55;09;01;14;4867.33
79112;07;02;60;08;01;14;1747.98
78108;05;02;33;01;01;14;0
41204;07;02;53;08;01;14;1326.95
41204;05;02;32;08;01;14;1326.95
72100;07;02;62;08;01;14;0
72100;07;02;57;02;01;14;0
84116;06;02;44;99;01;14;1733.33
84116;06;02;44;99;01;14;1983.69
84116;07;02;60;99;01;14;1603.83
84116;08;02;67;99;01;14;1171.6
84116;07;02;55;99;01;14;1171.6
84116;07;02;60;99;01;14;1657.1
84116;06;02;42;99;01;14;1421.19
42219;05;02;39;02;01;14;1269.71
42219;04;02;27;08;01;14;0
42219;03;02;21;08;01;14;0
41204;07;02;59;09;01;14;2171.87
80111;07;02;50;08;01;14;0
01512;06;02;41;08;01;14;1245.67
42219;07;02;64;08;01;14;0
47121;07;02;54;09;01;14;2000
69125;06;02;47;08;01;14;1145.95
71120;03;02;23;09;01;14;1224.6
47296;06;02;43;08;01;14;3124.19
23915;06;02;42;08;01;14;2903.59
74901;07;02;59;09;01;14;1212
41107;06;02;45;09;01;14;1664.21
03221;07;02;59;09;01;14;1211.94
49213;07;02;61;08;01;14;2234.78
49213;06;02;41;08;01;14;2637.21
49213;07;02;63;08;01;14;0
01610;07;02;63;08;01;14;0
84116;06;02;42;99;01;14;1264.16
84116;07;02;50;99;01;14;1500
84116;06;02;40;99;01;14;2529.05
23303;03;02;20;08;01;14;967.86
23303;05;02;32;08;01;14;963.11
01393;07;02;59;02;01;14;0
56112;07;02;53;09;01;14;0
49221;05;02;35;08;01;14;0
01610;05;02;35;09;01;14;3168.6
45111;06;02;46;08;01;14;3189.51
01610;05;02;34;09;01;14;1246.54
47440;01;02;14;08;01;14;663.57
46877;06;02;49;04;01;14;1214.02
45200;05;02;39;08;01;14;2196
84116;07;02;50;99;01;14;1352.16
84116;06;02;45;99;01;14;1356.2
84116;07;02;57;99;01;14;1314.83
84116;07;02;55;99;01;14;1207.96
84116;07;02;58;99;01;14;1516.93
84116;07;02;62;99;01;14;1732.23
84116;06;02;48;99;01;14;1356.2
84116;05;02;33;99;01;14;1469.14
55108;06;02;47;02;01;14;0
64620;06;02;46;09;01;14;1245.67
41204;05;02;37;08;01;14;1354.85
80111;07;02;51;09;01;14;1425.85
01610;05;02;30;09;01;14;1155.44
41204;05;02;34;08;01;14;25416.96
41204;07;02;55;09;01;14;2017.22
41204;04;02;25;09;01;14;0
45307;05;02;30;08;01;14;1500
86101;07;02;63;02;01;14;0
86101;07;02;62;02;01;14;0
37011;07;02;52;08;01;14;1780.99
